No.    年度    開講区分    所属    科目名    成績入力担当    曜日・時限    時間割コード
74    2026    第2クォーター    教養教育院    中国語初級Ａ２    付 瑞    火1    2U555
75    2026    第2クォーター    教養教育院    中国語初級Ａ２    陳　凱僑    火1    2U556
76    2026    第2クォーター    教養教育院    中国語初級Ａ２    アルチャ    火1    2U557
77    2026    第2クォーター    教養教育院    中国語初級Ａ２    阿　栄娜    火1    2U558
78    2026    第2クォーター    教養教育院    ロシア語初級Ａ２    中野　悠希    火1    2U641
79    2026    第2クォーター    教養教育院    微分積分２    山田　智宏    火1    2U751
80    2026    第2クォーター    教養教育院    微分積分２    太田 泰広    火1    2U752
81    2026    第2クォーター    教養教育院    微分積分２    河田　祥太郎    火1    2U753
82    2026    第2クォーター    教養教育院    微分積分２    桔梗 宏孝    火1    2U754
83    2026    第2クォーター    教養教育院    微分積分２    藤 健太    火1    2U755
84    2026    第2クォーター    教養教育院    微分積分２ Z（学番下3桁001～110）    佐治 健太郎    火1    2U756
85    2026    第2クォーター    教養教育院    微分積分２ Z（学番下3桁：111～）    影山 康夫    火1    2U757
86    2026    第2クォーター    教養教育院    微分積分２    森田　健    火1    2U758
87    2026    第2クォーター    教養教育院    数理統計２    森谷　義哉    火1    2U766
88    2026    第2クォーター    教養教育院    数理統計２    阪本　雄二    火1    2U767
89    2026    第3クォーター    教養教育院    経済学Ｂ    橋本　賢一    火1    3U042
90    2026    第3クォーター    教養教育院    越境する文化    小笠原 博毅    火1    3U050
91    2026    第3クォーター    教養教育院    現代の経済Ａ    石田　章    火1    3U056
92    2026    第3クォーター    教養教育院    教育と社会    葛城　浩一    火1    3U062
93    2026    第3クォーター    教養教育院    生物学Ａ    深城 英弘    火1    3U065
94    2026    第3クォーター    教養教育院    生物学Ｃ    上井　進也    火1    3U068
95    2026    第3クォーター    教養教育院    数学Ａ    澤　正憲    火1    3U070
96    2026    第3クォーター    教養教育院    化学Ａ    武智　恭世    火1    3U077
97    2026    第3クォーター    教養教育院    惑星学Ｂ    金子　克哉    火1    3U082
98    2026    第3クォーター    教養教育院    情報学Ａ    仁田 功一    火1    3U084
99    2026    第3クォーター    教養教育院    現代物理学が描く世界    竹内 康雄    火1    3U087
100    2026    第3クォーター    教養教育院    身近な物理法則    小手川 恒    火1    3U088
101    2026    第3クォーター    教養教育院    生命科学Ａ    片田　竜一    火1    3U089
102    2026    第3クォーター    教養教育院    ドイツ語初級Ａ３    安田　麗    火1    3U401
103    2026    第3クォーター    教養教育院    ドイツ語初級Ａ３    田村　豪    火1    3U402
104    2026    第3クォーター    教養教育院    ドイツ語初級Ａ３    新川　匠郎    火1    3U403
105    2026    第3クォーター    教養教育院    ドイツ語初級Ｂ３    芹澤　円    火1    3U426
106    2026    第3クォーター    教養教育院    ドイツ語初級Ｂ３    ADEBAHR David    火1    3U427
107    2026    第3クォーター    教養教育院    ドイツ語初級Ｂ３    永谷 益朗    火1    3U428
108    2026    第3クォーター    教養教育院    第三外国語（ドイツ語）Ｔ３    新川　匠郎    火1    3U456
109    2026    第3クォーター    教養教育院    フランス語初級Ａ３    石田　雄樹    火1    3U481
110    2026    第3クォーター    教養教育院    フランス語初級Ａ３    馬場　智也    火1    3U482
111    2026    第3クォーター    教養教育院    フランス語初級Ａ３    植村　実江    火1    3U483
