No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
68	2026	前期	医学部保健学科看護学専攻	薬と生体反応(副：薬と生体反応、薬と生体反応、薬と生体反応)	靱　千恵	金1	1M031
69	2026	後期	医学部保健学科看護学専攻	身体のしくみと働きⅠ	田中　貴士	金1	3M305
70	2026	前期	医学部保健学科看護学専攻	病い論	宮脇 郁子	金2	1M094
71	2026	前期	医学部保健学科看護学専攻	周産母子健康障害論	松井　三明	金2	1M398
72	2026	後期	医学部保健学科看護学専攻	身体のしくみと働きⅢ	松井　三明	金2	3M129
73	2026	前期	医学部保健学科看護学専攻	保健学概論(副：保健学初年次セミナー、保健学概論、保健学概論、保健学概論)	野田 和惠	金3	1M006
74	2026	前期	医学部保健学科看護学専攻	保健学初年次セミナー(主：保健学概論)	野田 和惠	金3	1M319
75	2026	後期	医学部保健学科看護学専攻	看護学概論	宮脇 郁子	金3	3M317
76	2026	前期	医学部保健学科看護学専攻	看護援助論	中西 泰弘	金4,5	1M207
77	2026	前期	医学部保健学科看護学専攻	ＩＰＷ概論(副：ＩＰＷ概論、ＩＰＷ概論、ＩＰＷ概論)	三浦 靖史	金4	1M315
78	2026	後期	医学部保健学科看護学専攻	メンタルヘルス論	奥野　裕子	金4	3M328
79	2026	後期	医学部保健学科看護学専攻	疾病の成り立ちと治療Ⅳ(こども)	西村　範行	金5	3M114
80	2026	前期	医学部保健学科看護学専攻	慢性期にある人の看護	宮脇 郁子	月1,2	1M029
81	2026	後期	医学部保健学科看護学専攻	国際保健 (主：国際保健)	中澤 港	月1	3M001
82	2026	後期	医学部保健学科看護学専攻	スポーツ医学(副：スポーツ医学、スポーツ医学)	三浦 靖史	月1,2	3M084
83	2026	後期	医学部保健学科看護学専攻	国際保健(主：国際保健)	中澤 港	月1	3M320
84	2026	前期	医学部保健学科看護学専攻	統計学(副：統計学、統計学、統計学)	駒井　浩一郎	月2	1M040
85	2026	前期	医学部保健学科看護学専攻	慢性期看護学演習	宮脇 郁子	月2	1M071
86	2026	前期	医学部保健学科看護学専攻	在宅看護展開論	中山 貴美子	月3,4	1M056
87	2026	前期	医学部保健学科看護学専攻	公衆衛生学	中澤 港	月3	1M208
88	2026	前期	医学部保健学科看護学専攻	症状マネージメント論	中西 泰弘	月3	1M397
89	2026	前期	医学部保健学科看護学専攻	在宅看護論	和泉　比佐子	月3,4	1M399
90	2026	前期	医学部保健学科看護学専攻	感染・免疫学	亀岡 正典	月4	1M085
91	2026	前期	医学部保健学科看護学専攻	フィジカルアセスメント演習	中西 泰弘	月4,5	1M171
92	2026	後期	医学部保健学科看護学専攻	援助過程論	福重　春菜	月4	3M186
