No.	年度	開講区分	所属	科目名	成績入力担当	曜日・時限	時間割コード
94	2026	後期	法学部　昼間主コース	政治過程論基礎	藤村 直史	火4	3J024
95	2026	後期	法学部　昼間主コース	特別講義法律実務体験演習	家木　祥孝	火4	3J035
96	2026	後期	法学部　昼間主コース	行政学演習	砂原 庸介	火4	3J069
97	2026	後期	法学部　昼間主コース	西洋政治史（高度教養科目）(主：西洋政治史)	安井 宏樹	火4,木3	3J070
98	2026	後期	法学部　昼間主コース	法社会学概論Ⅱ(副：法社会学概論Ⅱ)	高橋 裕	火4	3J123
99	2026	後期	法学部　昼間主コース	社会分析基礎（法律）	福田　真希	火4	3J148
100	2026	後期	法学部　昼間主コース	法社会学概論Ⅱ(主：法社会学概論Ⅱ)	高橋 裕	火4	3JA32
101	2026	前期	法学部　昼間主コース	西洋政治史演習	安井 宏樹	火5	1J057
102	2026	前期	法学部　昼間主コース	法社会学演習	高橋 裕	火5	1J060
103	2026	前期	法学部　昼間主コース	経済法演習	柴田　潤子	火5	1J062
104	2026	前期	法学部　昼間主コース	行政学演習	大西　裕	火5	1J069
105	2026	前期	法学部　昼間主コース	行政法演習	角松　生史	火5	1J070
106	2026	前期	法学部　昼間主コース	プログラム講義Introduction to Legal EnglishⅠ(主：Introduction to Legal English 1)	Keith Carpenter	火5	1J075
107	2026	後期	法学部　昼間主コース	西洋政治史演習	安井 宏樹	火5	3J041
108	2026	後期	法学部　昼間主コース	刑事法演習	東條　明徳	火5	3J042
109	2026	後期	法学部　昼間主コース	法社会学演習	高橋 裕	火5	3J044
110	2026	後期	法学部　昼間主コース	行政学演習	大西　裕	火5	3J052
111	2026	後期	法学部　昼間主コース	民事手続法演習	八田　卓也	火5	3J053
112	2026	後期	法学部　昼間主コース	行政法演習	角松　生史	火5	3J055
113	2026	後期	法学部　昼間主コース	プログラム講義Introduction to Legal EnglishⅡ(主：Introduction to Legal English 2)	Keith Carpenter	火5	3J063
114	2026	前期	法学部　昼間主コース	国際法Ⅲ	平野　実晴	水1	1J008
115	2026	前期	法学部　昼間主コース	刑法Ⅱ	東條　明徳	水1,金1	1J015
116	2026	後期	法学部　昼間主コース	民法Ⅰ（総則・物権）	米倉 暢大	水1,木1	3J009
117	2026	前期	法学部　昼間主コース	商法Ⅰ	榊　素寛	水2,木3	1J020
118	2026	前期	法学部　昼間主コース	国際関係史(副：国際関係史（高度教養科目）、国際関係史)	松村　尚子	水2	1J138
119	2026	前期	法学部　昼間主コース	国際関係史（高度教養科目）(主：国際関係史)	松村　尚子	水2	1J146
120	2026	前期	法学部　昼間主コース	国際関係史(主：国際関係史)	松村　尚子	水2	1JA38
121	2026	後期	法学部　昼間主コース	法解釈基礎	米倉 暢大	水2	3J028
122	2026	後期	法学部　昼間主コース	特別講義修了研究	角松　生史	水2	3J084
123	2026	前期	法学部　昼間主コース	プログラム講義Introduction to Common LawⅠ(主：Introduction to Common LawⅠ)	Keith Carpenter	水3	1J073
124	2026	前期	法学部　昼間主コース	特別講義法経総合概論(副：法経総合概論（高度教養科目）)	山岡　淳	水3,4	1J097
125	2026	前期	法学部　昼間主コース	法経総合概論（高度教養科目）(主：特別講義法経総合概論)	山岡　淳	水3,4	1J098
126	2026	後期	法学部　昼間主コース	プログラム講義Introduction to Common LawⅡ(主：Introduction to Common LawⅡ)	Keith Carpenter	水3	3J061
127	2026	前期	法学部　昼間主コース	エッセンシャル民法(副：エッセンシャル民法（高度教養科目）)	廣峰　正子	水5	1J150
128	2026	前期	法学部　昼間主コース	エッセンシャル民法（高度教養科目）(主：エッセンシャル民法)	廣峰　正子	水5	1J151
129	2026	前期	法学部　昼間主コース	プログラム講義計量テキスト分析(主：方法論特殊講義Ⅳ（計量テキスト分析）)	吉田　隆紘	木1	1J133
130	2026	後期	法学部　昼間主コース	国際法Ⅱ(副：国際法Ⅱ（高度教養科目）、国際法Ⅱ)	竹内　真理	木1	3J019
131	2026	後期	法学部　昼間主コース	国際法Ⅱ（高度教養科目）(主：国際法Ⅱ)	竹内　真理	木1	3J136
132	2026	後期	法学部　昼間主コース	外国書講読（英書）(主：法学文献研究（英語）)	森　悠一郎	木1	3J151
133	2026	後期	法学部　昼間主コース	国際法Ⅱ(主：国際法Ⅱ)	竹内　真理	木1	3JA19
134	2026	前期	法学部　昼間主コース	応用商法(主：応用法律（商法）)	木村　健登	木2	1J055
135	2026	前期	法学部　昼間主コース	応用法律（商法）(副：応用商法)	木村　健登	木2	1J119
136	2026	前期	法学部　昼間主コース	プログラム講義International Law for Sustainable Development(主：International Law for Sustainable Development)	平野　実晴	木2	1J132
137	2026	前期	法学部　昼間主コース	国際政治経済(副：国際政治経済（高度教養科目）、国際政治経済)	増村　悠爾	木2	1J139
138	2026	前期	法学部　昼間主コース	法哲学A（高度教養科目）(主：法哲学A)	森　悠一郎	木2	1J142
139	2026	前期	法学部　昼間主コース	国際政治経済（高度教養科目）(主：国際政治経済)	増村　悠爾	木2	1J145
140	2026	前期	法学部　昼間主コース	法哲学A(副：法哲学A（高度教養科目）)	森　悠一郎	木2	1J157
141	2026	前期	法学部　昼間主コース	国際政治経済(主：国際政治経済)	増村　悠爾	木2	1JA39
142	2026	後期	法学部　昼間主コース	経済法	池田　千鶴	木2	3J017
143	2026	後期	法学部　昼間主コース	応用刑事訴訟法(主：応用法律（刑事訴訟法）)	南迫　葉月	木2	3J040
144	2026	後期	法学部　昼間主コース	特別講義生成AIと法（JASRAC寄附講義）(主：生成AIと法（JASRAC寄附講義）)	柿沼　太一	木2	3J106
145	2026	後期	法学部　昼間主コース	応用法律（刑事訴訟法）(副：応用刑事訴訟法)	南迫　葉月	木2	3J112
146	2026	後期	法学部　昼間主コース	法哲学B（高度教養科目）(主：法哲学B)	森　悠一郎	木2	3J140
147	2026	後期	法学部　昼間主コース	法哲学B(副：法哲学B（高度教養科目）、法哲学B)	森　悠一郎	木2	3J141
148	2026	後期	法学部　昼間主コース	法哲学B(主：法哲学B)	森　悠一郎	木2	3JA41
149	2026	前期	法学部　昼間主コース	国際民事法	中村　知里	木3	1J152
150	2026	後期	法学部　昼間主コース	政治理論応用研究(主：政治学特殊講義（政治理論）)	飯田　文雄	木3	3J037
151	2026	後期	法学部　昼間主コース	国際関係論演習	栗栖 薫子	木4	3J054
152	2026	後期	法学部　昼間主コース	ジャーナリズムの最前線（高度教養科目）(主：ジャーナリズムの最前線)	永井　啓吾	木4	3J065
153	2026	後期	法学部　昼間主コース	特別講義 ジャーナリズムの最前線(主：ジャーナリズムの最前線)	永井　啓吾	木4	3J115
154	2026	後期	法学部　昼間主コース	国際紛争論Ⅱ	松村　尚子	木4	3J152
155	2026	第4クォーター	法学部　昼間主コース	特別講義ビジネス法務入門（TMI総合法律事務所寄附講義）	法学研究科	木4	4J019
156	2026	前期	法学部　昼間主コース	法社会学演習	馬場　健一	木5	1J059
157	2026	前期	法学部　昼間主コース	政治学演習	飯田　文雄	木5	1J067
158	2026	前期	法学部　昼間主コース	政治外交史演習	簑原　俊洋	木5	1J071
159	2026	前期	法学部　昼間主コース	プログラム講義Japanese Legal SystemⅡ(主：Japanese Legal SystemⅡ)	角松　生史	木5	1J074
